source,metric,occ_level,stem_group,stem_class,occ_code_raw,geo_country,geo_region,period,value,unit,snapshot,country,region,company,title,created
eurostat,employment,occupation,ICT,core,ISCO:25,BE,,2024,182.0,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,ICT,core,ISCO:25,BE,,2025,184.9,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,ICT,core,ISCO:25,BG,,2023,74.9,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,ICT,core,ISCO:25,BG,,2024,76.4,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,ICT,core,ISCO:25,BG,,2025,79.0,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,ICT,core,ISCO:25,CH,,2023,186.7,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,ICT,core,ISCO:25,CH,,2024,191.3,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,ICT,core,ISCO:25,CH,,2025,193.4,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,ICT,core,ISCO:25,CY,,2023,15.9,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,ICT,core,ISCO:25,CY,,2024,14.6,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,ICT,core,ISCO:25,CY,,2025,14.4,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,ICT,core,ISCO:25,CZ,,2023,114.3,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,ICT,core,ISCO:25,CZ,,2024,138.3,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,ICT,core,ISCO:25,CZ,,2025,144.1,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,ICT,core,ISCO:25,DE,,2023,1025.7,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,ICT,core,ISCO:25,DE,,2024,1100.9,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,ICT,core,ISCO:25,DE,,2025,1130.5,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,ICT,core,ISCO:25,DK,,2023,97.8,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,ICT,core,ISCO:25,DK,,2024,100.1,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,ICT,core,ISCO:25,DK,,2025,99.4,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
